id,publication_year
https://openalex.org/W100000002,1988
https://openalex.org/W1000000047,2006
https://openalex.org/W1000000056,2010
https://openalex.org/W1000000079,2001
https://openalex.org/W100000009,2004
https://openalex.org/W1000000094,2008
https://openalex.org/W1000000139,2013
https://openalex.org/W1000000144,2014
https://openalex.org/W1000000158,2014
https://openalex.org/W1000000244,2008
https://openalex.org/W1000000251,1990
https://openalex.org/W1000000332,2005
https://openalex.org/W1000000337,2012
https://openalex.org/W1000000347,2004
https://openalex.org/W1000000349,1984
https://openalex.org/W100000036,2012
https://openalex.org/W1000000384,2003
https://openalex.org/W1000000436,2008
https://openalex.org/W1000000460,2012
https://openalex.org/W1000000468,2010
https://openalex.org/W1000000489,1996
https://openalex.org/W1000000574,1996
https://openalex.org/W1000000589,2010
https://openalex.org/W100000062,2000
https://openalex.org/W1000000686,1996
https://openalex.org/W1000000687,2009
https://openalex.org/W1000000690,2011
https://openalex.org/W1000000798,2003
https://openalex.org/W1000000813,2011
https://openalex.org/W1000000875,2006
https://openalex.org/W1000000909,2004
https://openalex.org/W100000094,1978
https://openalex.org/W1000001032,1995
https://openalex.org/W1000001125,2001
https://openalex.org/W1000001167,2000
https://openalex.org/W1000001192,1988
https://openalex.org/W1000001256,2004
https://openalex.org/W1000001311,2012
https://openalex.org/W1000001352,2013
https://openalex.org/W1000001374,2003
https://openalex.org/W1000001380,1991
https://openalex.org/W100000140,1979
https://openalex.org/W1000001460,2010
https://openalex.org/W1000001495,2001
https://openalex.org/W1000001555,2011
https://openalex.org/W1000001565,2002
https://openalex.org/W1000001594,2010
https://openalex.org/W1000001614,2009
https://openalex.org/W1000001734,2013
https://openalex.org/W1000001742,2003
https://openalex.org/W100000178,2005
https://openalex.org/W1000001815,1926
https://openalex.org/W1000001846,1995
https://openalex.org/W100000185,1991
https://openalex.org/W1000001852,2012
https://openalex.org/W1000001921,1996
https://openalex.org/W1000001952,1998
https://openalex.org/W1000002278,2015
https://openalex.org/W100000235,1996
https://openalex.org/W1000002397,2008
https://openalex.org/W100000241,1997
https://openalex.org/W100000243,2000
https://openalex.org/W1000002531,2007
https://openalex.org/W100000254,2008
https://openalex.org/W1000002548,2010
https://openalex.org/W1000002680,2003
https://openalex.org/W1000002739,2011
https://openalex.org/W100000282,2002
https://openalex.org/W1000002843,1996
https://openalex.org/W1000002944,2011
